,Aturan,Support XuY %,Support X %,Confidence %
0,"('Apple',)=>Bread",15.0,38.0,40.0
1,"('Bread',)=>Apple",15.0,38.0,40.0
2,"('Apple',)=>Butter",19.0,42.0,45.0
3,"('Butter',)=>Apple",19.0,38.0,49.0
4,"('Apple',)=>Cheese",16.0,40.0,40.0
5,"('Cheese',)=>Apple",16.0,38.0,42.0
6,"('Apple',)=>Corn",19.0,41.0,46.0
7,"('Corn',)=>Apple",19.0,38.0,49.0
8,"('Apple',)=>Dill",18.0,40.0,45.0
9,"('Dill',)=>Apple",18.0,38.0,47.0
10,"('Apple',)=>Eggs",16.0,38.0,41.0
11,"('Eggs',)=>Apple",16.0,38.0,41.0
12,"('Apple',)=>Ice cream",17.0,41.0,42.0
13,"('Ice cream',)=>Apple",17.0,38.0,45.0
14,"('Apple',)=>Kidney Beans",18.0,41.0,43.0
15,"('Kidney Beans',)=>Apple",18.0,38.0,46.0
16,"('Apple',)=>Milk",18.0,41.0,45.0
17,"('Milk',)=>Apple",18.0,38.0,48.0
18,"('Apple',)=>Nutmeg",17.0,40.0,43.0
19,"('Nutmeg',)=>Apple",17.0,38.0,45.0
20,"('Apple',)=>Onion",17.0,40.0,41.0
21,"('Onion',)=>Apple",17.0,38.0,44.0
22,"('Apple',)=>Sugar",18.0,41.0,44.0
23,"('Sugar',)=>Apple",18.0,38.0,48.0
24,"('Apple',)=>Unicorn",17.0,39.0,43.0
25,"('Unicorn',)=>Apple",17.0,38.0,43.0
26,"('Apple',)=>Yogurt",19.0,42.0,45.0
27,"('Yogurt',)=>Apple",19.0,38.0,49.0
28,"('Apple',)=>chocolate",18.0,42.0,43.0
29,"('chocolate',)=>Apple",18.0,38.0,48.0
30,"('Bread',)=>Butter",18.0,42.0,43.0
31,"('Butter',)=>Bread",18.0,38.0,47.0
32,"('Bread',)=>Cheese",17.0,40.0,43.0
33,"('Cheese',)=>Bread",17.0,38.0,45.0
34,"('Bread',)=>Corn",17.0,41.0,43.0
35,"('Corn',)=>Bread",17.0,38.0,45.0
36,"('Bread',)=>Dill",16.0,40.0,40.0
37,"('Dill',)=>Bread",16.0,38.0,42.0
38,"('Bread',)=>Eggs",16.0,38.0,41.0
39,"('Eggs',)=>Bread",16.0,38.0,41.0
40,"('Bread',)=>Ice cream",18.0,41.0,44.0
41,"('Ice cream',)=>Bread",18.0,38.0,47.0
42,"('Bread',)=>Kidney Beans",17.0,41.0,41.0
43,"('Kidney Beans',)=>Bread",17.0,38.0,43.0
44,"('Bread',)=>Milk",17.0,41.0,43.0
45,"('Milk',)=>Bread",17.0,38.0,45.0
46,"('Bread',)=>Nutmeg",17.0,40.0,43.0
47,"('Nutmeg',)=>Bread",17.0,38.0,45.0
48,"('Bread',)=>Onion",18.0,40.0,44.0
49,"('Onion',)=>Bread",18.0,38.0,46.0
50,"('Bread',)=>Sugar",18.0,41.0,44.0
51,"('Sugar',)=>Bread",18.0,38.0,47.0
52,"('Bread',)=>Unicorn",17.0,39.0,43.0
53,"('Unicorn',)=>Bread",17.0,38.0,44.0
54,"('Bread',)=>Yogurt",19.0,42.0,46.0
55,"('Yogurt',)=>Bread",19.0,38.0,50.0
56,"('Bread',)=>chocolate",19.0,42.0,44.0
57,"('chocolate',)=>Bread",19.0,38.0,48.0
58,"('Butter',)=>Cheese",18.0,40.0,45.0
59,"('Cheese',)=>Butter",18.0,42.0,43.0
60,"('Butter',)=>Corn",19.0,41.0,47.0
61,"('Corn',)=>Butter",19.0,42.0,45.0
62,"('Butter',)=>Dill",18.0,40.0,44.0
63,"('Dill',)=>Butter",18.0,42.0,42.0
64,"('Butter',)=>Eggs",17.0,38.0,45.0
65,"('Eggs',)=>Butter",17.0,42.0,41.0
66,"('Butter',)=>Ice cream",21.0,41.0,50.0
67,"('Ice cream',)=>Butter",21.0,42.0,49.0
68,"('Butter',)=>Kidney Beans",20.0,41.0,50.0
69,"('Kidney Beans',)=>Butter",20.0,42.0,48.0
70,"('Butter',)=>Milk",20.0,41.0,49.0
71,"('Milk',)=>Butter",20.0,42.0,47.0
72,"('Butter',)=>Nutmeg",20.0,40.0,49.0
73,"('Nutmeg',)=>Butter",20.0,42.0,47.0
74,"('Butter',)=>Onion",20.0,40.0,49.0
75,"('Onion',)=>Butter",20.0,42.0,47.0
76,"('Butter',)=>Sugar",20.0,41.0,48.0
77,"('Sugar',)=>Butter",20.0,42.0,47.0
78,"('Butter',)=>Unicorn",18.0,39.0,47.0
79,"('Unicorn',)=>Butter",18.0,42.0,43.0
80,"('Butter',)=>Yogurt",19.0,42.0,45.0
81,"('Yogurt',)=>Butter",19.0,42.0,45.0
82,"('Butter',)=>chocolate",20.0,42.0,48.0
83,"('chocolate',)=>Butter",20.0,42.0,48.0
84,"('Cheese',)=>Corn",18.0,41.0,45.0
85,"('Corn',)=>Cheese",18.0,40.0,45.0
86,"('Cheese',)=>Dill",18.0,40.0,44.0
87,"('Dill',)=>Cheese",18.0,40.0,44.0
88,"('Cheese',)=>Eggs",17.0,38.0,44.0
89,"('Eggs',)=>Cheese",17.0,40.0,42.0
90,"('Cheese',)=>Ice cream",19.0,41.0,46.0
91,"('Ice cream',)=>Cheese",19.0,40.0,46.0
92,"('Cheese',)=>Kidney Beans",20.0,41.0,49.0
93,"('Kidney Beans',)=>Cheese",20.0,40.0,50.0
94,"('Cheese',)=>Milk",17.0,41.0,42.0
95,"('Milk',)=>Cheese",17.0,40.0,43.0
96,"('Cheese',)=>Nutmeg",19.0,40.0,48.0
97,"('Nutmeg',)=>Cheese",19.0,40.0,48.0
98,"('Cheese',)=>Onion",19.0,40.0,46.0
99,"('Onion',)=>Cheese",19.0,40.0,46.0
100,"('Cheese',)=>Sugar",19.0,41.0,46.0
101,"('Sugar',)=>Cheese",19.0,40.0,46.0
102,"('Cheese',)=>Unicorn",17.0,39.0,44.0
103,"('Unicorn',)=>Cheese",17.0,40.0,42.0
104,"('Cheese',)=>Yogurt",18.0,42.0,43.0
105,"('Yogurt',)=>Cheese",18.0,40.0,45.0
106,"('Cheese',)=>chocolate",19.0,42.0,44.0
107,"('chocolate',)=>Cheese",19.0,40.0,46.0
108,"('Corn',)=>Dill",18.0,40.0,45.0
109,"('Dill',)=>Corn",18.0,41.0,44.0
110,"('Corn',)=>Eggs",18.0,38.0,47.0
111,"('Eggs',)=>Corn",18.0,41.0,44.0
112,"('Corn',)=>Ice cream",19.0,41.0,47.0
113,"('Ice cream',)=>Corn",19.0,41.0,47.0
114,"('Corn',)=>Kidney Beans",20.0,41.0,48.0
115,"('Kidney Beans',)=>Corn",20.0,41.0,48.0
116,"('Corn',)=>Milk",19.0,41.0,48.0
117,"('Milk',)=>Corn",19.0,41.0,47.0
118,"('Corn',)=>Nutmeg",18.0,40.0,45.0
119,"('Nutmeg',)=>Corn",18.0,41.0,44.0
120,"('Corn',)=>Onion",18.0,40.0,46.0
121,"('Onion',)=>Corn",18.0,41.0,45.0
122,"('Corn',)=>Sugar",19.0,41.0,46.0
123,"('Sugar',)=>Corn",19.0,41.0,46.0
124,"('Corn',)=>Unicorn",18.0,39.0,46.0
125,"('Unicorn',)=>Corn",18.0,41.0,43.0
126,"('Corn',)=>Yogurt",19.0,42.0,45.0
127,"('Yogurt',)=>Corn",19.0,41.0,47.0
128,"('Corn',)=>chocolate",19.0,42.0,46.0
129,"('chocolate',)=>Corn",19.0,41.0,47.0
130,"('Dill',)=>Eggs",16.0,38.0,41.0
131,"('Eggs',)=>Dill",16.0,40.0,39.0
132,"('Dill',)=>Ice cream",19.0,41.0,45.0
133,"('Ice cream',)=>Dill",19.0,40.0,46.0
134,"('Dill',)=>Kidney Beans",17.0,41.0,42.0
135,"('Kidney Beans',)=>Dill",17.0,40.0,43.0
136,"('Dill',)=>Milk",19.0,41.0,47.0
137,"('Milk',)=>Dill",19.0,40.0,48.0
138,"('Dill',)=>Nutmeg",17.0,40.0,43.0
139,"('Nutmeg',)=>Dill",17.0,40.0,43.0
140,"('Dill',)=>Onion",19.0,40.0,48.0
141,"('Onion',)=>Dill",19.0,40.0,48.0
